baby_ID,spectral_power__1_,spectral_power__2_,spectral_power__3_,spectral_power__4_,spectral_relative_power__1_,spectral_relative_power__2_,spectral_relative_power__3_,spectral_relative_power__4_,spectral_edge_frequency,FD,rEEG_median,rEEG_lower_margin,rEEG_upper_margin,rEEG_asymmetry
1,634.307,34.31,21.8508,6.74982,0.857957,0.0666086,0.0507019,0.0174034,7.40625,1.08144,54.6868,29.6829,190.661,0.619397
2,191.764,9.76901,4.72266,2.6939,0.897815,0.0556356,0.0292821,0.01846,5.21875,1.0824,29.8493,15.0246,99.164,0.67088
3,1405.39,12.5184,8.26846,7.50877,0.981877,0.0102705,0.00525393,0.00471137,2,1.12123,34.0406,21.3886,134.477,0.780884
4,65.5679,4.9878,2.51829,1.4652,0.895438,0.0489391,0.0361542,0.0205291,7.5625,1.11039,17.7566,13.0092,73.6006,0.806616
5,133.706,17.52,13.1544,6.2975,0.784976,0.101603,0.0673485,0.0369498,11,1.09785,41.0935,22.535,118.782,0.650555
6,547.76,36.042,32.9064,16.2749,0.834398,0.0603295,0.0510298,0.0250768,7.5625,1.11234,60.6196,29.661,223.813,0.672731
7,221.649,5.87507,3.28297,4.16827,0.933572,0.0283781,0.0163944,0.0220724,4.625,1.14648,33.1212,18.1621,78.8959,0.546837
8,90.948,1.71044,0.875447,0.708636,0.951779,0.0261214,0.0119639,0.0122589,3.5625,1.11605,15.779,8.89546,42.5829,0.523521
9,138.574,11.7134,6.8334,3.68736,0.871054,0.0638156,0.0422168,0.0213286,7.8125,1.08846,31.9431,17.5359,99.8269,0.594216
10,176.209,3.36168,1.99044,3.33596,0.932713,0.0331148,0.0152765,0.0167233,4.21875,1.14054,24.3598,15.0254,51.6382,0.570774
11,42.8405,2.83105,1.98893,1.686,0.845123,0.0699462,0.0445085,0.0370545,10.125,1.13797,20.1373,11.9297,39.398,0.384596
12,130.293,7.53662,4.99376,3.64773,0.888567,0.0540616,0.0338163,0.0258633,7.5625,1.11938,29.4307,17.6188,84.635,0.491736
13,117.493,6.6382,4.01238,5.17802,0.874851,0.0520951,0.0321512,0.0428772,11.125,1.17709,28.974,18.7393,45.4722,0.241778
14,41.3498,2.29848,2.2917,0.886575,0.885729,0.0502937,0.0453807,0.0155335,7.1875,1.08536,18.2319,11.2017,54.2781,0.587985
15,40.6566,2.34272,1.17134,0.597028,0.907908,0.053178,0.0269706,0.0133573,5.71875,1.07747,22.2001,11.1655,42.232,0.316017
